WorkerID,JobOfferID,Status,Date,WageOffer
87,8,Pending,2025-01-05,32.1
96,10,Pending,2025-01-07,34.99
8,22,Refused,2025-01-13,17.28
28,10,Accepted,2025-01-11,44.54
28,16,Refused,2024-12-29,21.35
85,2,Accepted,2025-01-10,42.21
95,23,Accepted,2025-01-05,41.18
19,20,Accepted,2025-01-02,23.07
16,24,Pending,2024-12-28,18.22
16,9,Refused,2025-01-20,32.89
65,15,Accepted,2025-01-04,22.98
16,22,Pending,2025-01-12,36.97
53,2,Refused,2025-01-03,17.16
19,9,Refused,2025-01-01,34.38
61,29,Accepted,2024-12-29,16.47
54,29,Accepted,2025-01-05,36.27
81,23,Accepted,2024-12-28,17.78
67,21,Accepted,2024-12-30,19.6
80,21,Accepted,2025-01-22,29.13
98,23,Pending,2025-01-09,26.84
93,13,Refused,2024-12-30,26.49
52,1,Refused,2025-01-09,15.26
89,7,Refused,2025-01-12,40.06
60,14,Accepted,2025-01-09,36.65
53,21,Refused,2024-12-25,30.85
10,11,Accepted,2024-12-24,29.71
91,5,Pending,2025-01-08,24.5
38,26,Pending,2025-01-16,43.33
100,18,Accepted,2025-01-17,32.27
3,4,Refused,2025-01-07,36.57
20,28,Accepted,2025-01-18,35.42
38,9,Refused,2024-12-25,16.73
83,4,Refused,2025-01-01,42.76
52,3,Accepted,2025-01-03,29.82
66,9,Accepted,2025-01-12,18.7
55,9,Accepted,2025-01-04,28.86
43,22,Pending,2024-12-23,32.01
77,24,Refused,2025-01-05,30.63
46,18,Pending,2025-01-15,16.54
58,24,Refused,2025-01-17,27.34
